,id,name,location,coordinates,num_reviews,cuisine,timestamp,rating,recommend
58,lj1dgpWHiymVFNWp3vzC1A,Colina Cuervo,"{'address1': '759 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Crown Heights', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['759 Nostrand Ave', 'Crown Heights, NY 11216']}","{'latitude': 40.6713243870099, 'longitude': -73.9503035730164}",152,indian,2019-04-26 20:32:01.162646,4.5,0
59,XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,"{'address1': '16 W 8th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['16 W 8th St', 'New York, NY 10011']}","{'latitude': 40.73264, 'longitude': -73.99752}",155,chinese,2019-04-26 20:28:17.722809,4.0,0
60,023ivwWL8ruoHsr3-AaGFA,Chipotle Mexican Grill,"{'address1': '234 5th Ave', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['234 5th Ave', 'Frnt 1', 'New York, NY 10001']}","{'latitude': 40.7442733806164, 'longitude': -73.987870919479}",45,mexican,2019-04-26 20:42:54.141108,3.0,0
61,07CFPHGST8k37uHYAGxYqQ,Pink Moose,"{'address1': '1070 1st Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['1070 1st Ave', 'New York, NY 10022']}","{'latitude': 40.75911, 'longitude': -73.96212}",118,indian,2019-04-26 20:31:59.789297,4.5,0
62,SzH79XjUPoTYBnE3dybRsw,Della,"{'address1': '1238 Prospect Ave', 'address2': '', 'address3': 'Reeve Place', 'city': 'Brooklyn', 'zip_code': '11218', 'country': 'US', 'state': 'NY', 'display_address': ['1238 Prospect Ave', 'Reeve Place', 'Brooklyn, NY 11218']}","{'latitude': 40.65287, 'longitude': -73.97631}",104,italian,2019-04-26 20:45:48.828183,4.0,0
63,qNmHq3ST2bBinAN-TatwSg,Mirakuya Japanese Cuisine,"{'address1': '727 Flushing Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['727 Flushing Ave', 'Brooklyn, NY 11206']}","{'latitude': 40.7004883125668, 'longitude': -73.9435394480824}",36,japanese,2019-04-26 20:51:16.615344,3.5,0
64,GuqvwAFpjjz3m3vicbJBTQ,El Rey del Taco Deli,"{'address1': '49-06 43rd Ave', 'address2': '', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['49-06 43rd Ave', 'Woodside, NY 11377']}","{'latitude': 40.7445104420185, 'longitude': -73.9153558015823}",43,mexican,2019-04-26 20:42:09.306441,4.0,0
65,47_jHPl3p4-OYGCVLy2ZIA,Salvatoria Kitchen & Bar,"{'address1': '31-18 Broadway', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['31-18 Broadway', 'Astoria, NY 11106']}","{'latitude': 40.76142, 'longitude': -73.92486}",143,indian,2019-04-26 20:31:32.645611,4.5,0
66,DpZ7Xaub8Lhpg7VJdHaPpg,Zenkichi,"{'address1': '77 N 6th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['77 N 6th St', 'Brooklyn, NY 11249']}","{'latitude': 40.7189722, 'longitude': -73.9608301}",947,japanese,2019-04-26 20:49:45.257568,4.0,1
67,FsHqkVb0kmLq1VW7P-xz1A,Tomo Japanese Fusion,"{'address1': '1077 Flushing Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1077 Flushing Ave', 'Brooklyn, NY 11237']}","{'latitude': 40.70465, 'longitude': -73.9292399}",156,japanese,2019-04-26 20:51:15.484480,3.0,0
